age,education_years,income_level,political_interest,rural_residency,previous_voter,got_information_brochure,voted_in_election
21,24,4,16,1,1,0,61.56352417859454
34,26,3,10,0,1,1,70.34130510765887
22,22,3,25,1,0,0,62.39140521549801
18,20,8,6,1,1,1,72.58687854324717
24,27,5,14,1,0,1,70.67863921145175
27,20,8,16,0,1,1,71.67450106733973
23,26,6,13,0,0,0,62.758501636918304
22,19,4,6,0,0,0,60.30247336093979
11,30,3,11,0,1,1,68.9745338921171
48,28,9,12,0,0,1,72.86269049154157
35,20,3,17,0,1,1,66.29669417176726
31,21,9,16,0,1,1,72.94381809188039
18,27,6,14,0,0,0,64.41541377879693
16,22,7,12,0,1,1,70.0830520493868
29,17,5,17,0,1,0,64.43642112181799
26,29,6,16,0,0,0,64.43694206254416
45,25,4,18,1,0,1,69.04389697011602
34,19,5,17,0,1,1,68.35794630048642
44,29,5,13,0,0,1,70.61584671649018
20,23,4,9,0,0,1,67.97787440415198
41,29,3,16,1,0,1,69.06421970607845
41,27,7,17,0,0,0,67.24281361375796
34,17,7,17,0,1,0,63.95534088204906
22,21,4,11,0,0,1,66.42645915355956
20,19,7,11,0,0,0,63.132981047391816
24,23,5,16,1,1,1,69.4633995962046
19,21,5,16,0,1,1,68.42887093514328
23,23,8,18,0,0,1,71.07273403423855
26,19,6,11,0,1,1,69.56517982388056
21,23,4,18,0,0,1,68.9045599991104
21,20,6,18,1,0,0,61.715218486883074
21,30,7,20,1,0,0,65.32014645900911
30,22,0,20,1,1,1,64.92405200126647
38,21,6,18,1,1,1,70.37966506518018
28,27,11,17,1,0,1,75.74564005162934
24,28,5,20,1,1,1,70.76965591608058
14,26,4,16,1,0,1,67.39859860888542
22,27,4,16,0,1,1,69.59295183464239
28,24,9,15,0,0,0,66.18426777945353
30,22,4,13,1,1,0,63.326089031511
25,26,3,13,0,1,1,67.30076974990273
26,20,7,18,0,1,0,66.13547702189655
31,27,6,13,0,0,0,65.20695821188379
30,25,8,16,1,1,0,68.57641362113968
30,28,6,24,0,0,1,71.50819023541159
10,20,5,19,0,0,1,67.32628690507899
14,29,3,19,1,0,1,68.21740068528578
12,19,4,17,0,1,1,67.2359930252608
15,29,6,11,1,0,1,69.01413972174015
33,22,7,22,1,1,1,72.39470886525288
18,29,3,13,0,0,1,70.0742273408604
16,22,5,16,0,1,1,69.28398605656885
38,21,6,13,1,0,0,63.55522931435715
2,10,7,14,0,1,1,69.17718049544385
10,31,2,8,0,0,0,61.8351269045104
11,22,3,14,1,1,0,61.25103255501303
30,18,3,11,0,0,0,58.29266031162517
22,21,3,16,0,0,1,66.68795908181849
20,16,6,6,1,0,1,68.85803451268916
38,25,7,10,1,0,1,69.56084892952086
24,18,2,17,0,0,0,58.19682425415602
16,21,4,10,1,0,0,60.633074495771424
32,27,2,18,0,1,1,68.51460076364657
26,28,8,15,0,1,1,73.43557299245123
22,29,10,18,0,0,1,74.12417993655548
33,20,6,10,1,1,0,64.01350307780322
32,25,4,19,1,1,1,71.08294908939128
13,27,6,13,0,1,1,72.14899925312324
26,15,6,15,0,0,0,61.716427832698336
29,27,7,16,0,1,1,71.56680607238378
23,27,4,7,0,1,1,68.29967061029124
46,27,5,23,0,0,0,65.07384633502986
28,22,7,11,0,1,1,71.35757978983357
21,28,6,19,0,1,1,72.61417046021405
32,27,5,19,1,0,1,70.78590962743706
17,17,7,16,0,1,0,63.56181833573705
21,28,3,17,0,1,1,68.86822206204057
29,28,4,20,1,0,1,71.93538158029553
3,25,6,15,0,1,0,64.6217110736748
28,21,10,24,0,0,1,73.78554368554506
27,24,8,17,0,1,1,73.94243521278268
11,26,3,16,1,0,0,61.79989742658256
19,22,9,10,0,0,0,65.38371820286756
18,15,2,19,0,0,0,58.67694901843574
42,26,4,13,0,0,1,67.79672097216628
19,23,5,18,1,0,1,70.19676184413436
19,21,4,19,0,0,1,68.33053457238279
12,21,4,11,1,0,1,66.44116278340506
26,21,2,20,0,1,0,60.64974758152005
36,22,6,17,0,1,0,64.72011237984073
31,19,4,21,0,0,1,67.77085887900289
15,26,6,17,0,0,0,67.34070634456431
41,27,4,10,1,0,0,63.45277962809479
15,24,10,14,1,0,1,72.30967413042694
11,23,6,13,1,1,0,63.5326428314877
19,21,3,17,0,1,0,61.52180439679669
34,25,3,11,0,1,1,69.72373030256816
47,32,7,10,0,0,1,72.07669409017014
28,26,2,19,0,1,0,62.03349660313525
25,25,5,22,1,0,1,70.89566151580749
26,27,3,19,0,0,1,69.15283029175644
14,27,6,25,0,0,1,70.2321177658941
8,26,5,19,1,0,1,71.6848155815162
14,22,5,17,0,1,1,69.15900202532907
18,18,5,18,1,1,1,69.86704275487403
16,29,6,19,1,0,1,71.48569098806604
35,26,6,18,1,1,0,64.64360888365287
