student_age,parent_education_years,school_funding_per_student,rural_school,access_to_tutoring,online_education_program,final_grade
13,21,3,1,0,1,75.94228790162217
44,23,5,0,0,0,100.4116067253296
39,22,5,1,0,0,96.633294078221
20,20,2,1,0,1,80.03584670741206
7,22,3,0,1,1,70.1846058443761
18,21,6,0,1,0,78.78310304620018
27,20,9,1,1,1,89.69149332877657
3,26,9,1,1,1,69.88118128607137
23,25,9,0,0,1,88.74114084610336
26,20,5,0,1,0,84.11177371444438
13,25,5,1,1,1,78.33452675916186
8,22,6,1,0,1,72.70698370319276
32,16,4,0,1,0,86.88670691586005
15,32,6,0,1,0,79.81267023616486
27,24,7,0,1,1,92.1634152392677
32,20,9,1,0,0,92.96130559056388
13,21,5,0,0,1,74.8886789721555
24,26,8,1,0,0,86.95297803923361
30,26,4,1,0,0,89.08640995763554
31,26,6,1,0,1,94.92546129123755
28,26,4,1,1,0,88.14735694851653
25,29,4,0,1,1,91.06973329598266
22,23,7,0,1,0,81.96290450426707
28,30,6,0,0,1,95.17564489390678
19,28,7,0,0,1,85.60503696428756
18,24,5,1,0,1,81.52505785033661
36,21,4,1,0,0,93.5781399517382
40,30,6,1,0,0,103.69261759320274
20,26,3,1,0,1,85.04896059269399
27,21,5,0,1,1,91.8258030227497
23,20,5,0,0,1,85.02300776084542
34,29,6,0,0,1,100.41298985525827
23,25,7,0,0,0,83.1256469217418
41,25,5,1,1,1,103.82315597296105
20,31,8,0,1,1,89.06360125903385
35,28,4,0,1,0,94.62086137003791
15,26,8,0,1,0,78.31784309603816
28,21,5,1,0,1,88.64135639550726
8,18,9,1,1,1,71.95273246554726
9,20,7,1,1,1,74.03796824773622
36,27,4,1,1,1,99.6507936299504
29,26,7,1,1,0,91.13314192204837
49,24,6,1,0,0,104.9218094988568
24,28,7,0,0,0,84.48157956223999
13,22,1,0,1,1,74.73763135846023
24,23,3,0,1,1,86.1517639949072
11,28,10,1,0,0,75.24859944669
24,24,6,1,1,1,88.24884188202311
9,29,6,0,0,0,73.28026005103895
33,24,5,1,1,0,93.19720141819202
33,32,7,1,1,1,103.27715448032458
32,15,7,1,1,1,93.2017595662942
21,33,9,1,0,0,88.04239931662664
26,24,7,1,1,0,85.41522309790773
16,25,6,0,0,1,80.0129362186634
18,26,9,0,1,1,86.10415218754467
22,27,5,1,0,0,82.20486716738179
10,16,3,0,0,1,69.99592279395523
24,20,9,1,1,1,87.67795201372343
34,20,2,0,1,0,89.80728529303032
35,21,4,1,1,0,92.52769088691794
40,26,5,1,1,1,104.40768211478996
28,26,8,1,1,0,88.31656416362748
36,24,4,1,0,1,97.26440738485772
20,27,4,0,1,0,82.0091535195633
31,25,11,0,0,0,92.48595229911832
28,27,6,1,1,0,90.88912595350776
35,21,4,0,0,0,93.07424450591564
37,15,7,0,0,0,92.3270351860678
16,25,5,1,1,1,80.60533724022844
20,23,5,0,1,0,80.756294896767
-6,18,6,0,0,0,53.25127755378312
37,30,4,1,0,1,103.15243727495756
11,24,8,0,0,1,76.88382083205416
25,19,8,0,0,0,82.38703258039186
37,26,6,1,1,0,96.24974496789518
16,25,7,0,1,1,83.32688742400818
23,21,1,0,0,1,83.7071248636695
32,28,5,0,1,0,94.89728121550588
14,30,3,0,0,1,79.95160898634875
19,24,1,0,1,0,78.65521353696955
18,22,4,1,0,0,76.73261031881178
24,28,7,1,1,0,87.3379248013423
11,27,9,0,0,0,75.7985684964478
29,17,4,0,1,1,90.23154782778944
29,15,6,0,0,1,87.78197241061977
26,20,3,0,1,1,86.03206517596932
17,27,5,1,0,0,77.14114047085258
40,23,3,1,1,1,102.15285389375128
14,26,6,0,0,0,73.5998526958879
31,20,6,1,1,1,91.66097477315414
27,19,9,1,0,0,85.71359072047638
28,24,6,1,0,0,86.81941020588471
10,23,6,0,0,0,68.31142801842309
24,26,8,1,1,1,89.53074600855443
36,22,4,0,0,0,92.94882601670574
18,20,3,0,1,0,75.24271712176458
13,21,10,0,0,1,77.17160104084003
12,25,9,0,0,1,77.40010686468403
24,27,4,1,1,0,85.89035783186904
40,18,2,1,1,0,94.8110147836857
15,18,8,0,1,1,76.55954076380849
-1,29,6,0,1,0,64.26927675851721
20,25,9,1,0,0,82.43493797915549
18,26,5,1,0,0,80.49413748571857
11,22,5,1,1,0,71.56888807387479
22,23,8,0,1,1,87.18360905207513
37,19,6,0,0,1,96.31062157570396
36,19,5,1,0,0,90.52207721190528
20,28,5,0,0,1,85.28498690446943
0,23,3,0,0,0,57.94813605702757
31,27,10,1,1,1,97.17947678637674
25,25,6,1,0,1,87.82841711386443
31,24,4,0,1,0,89.59297736646603
8,19,5,0,1,0,67.8316149777341
25,21,4,1,0,1,87.01183330324028
15,19,2,1,0,0,70.74228110191659
18,21,3,0,0,1,82.5443005249858
27,26,5,0,1,0,86.36519074132306
15,29,7,0,0,1,81.64137389414596
17,22,7,0,1,1,81.05979324516076
34,20,4,0,0,1,93.85913158959004
25,24,6,1,1,0,83.72975272058166
14,17,7,0,0,0,71.44477352547545
30,20,7,1,0,1,91.31028526193616
27,25,6,0,1,0,87.46016579433851
4,27,3,0,1,1,69.01504121674701
24,22,11,0,0,1,87.75284142593503
23,23,7,0,1,1,86.70449556880261
36,32,6,1,1,1,104.14091053539796
30,28,8,0,0,1,96.1022451433128
7,24,6,1,1,0,67.89839613626584
