participant_age,education_years,household_income,gender,internet_access,social_media_use,political_participation
33,23,4,1,1,1,77.26742699370517
42,17,9,1,0,0,73.80020286015606
39,25,8,1,1,1,81.839082413142
22,22,7,0,1,0,65.11008346584615
29,20,4,0,1,0,70.32919600075631
16,25,5,1,1,0,65.93221712941859
12,28,4,1,1,1,68.92050778189883
13,20,7,1,0,0,61.2631147186187
19,29,5,0,1,0,66.7615382208455
9,27,7,1,1,0,61.5220199581987
21,28,5,1,1,1,73.4366787512651
22,22,3,0,1,1,71.0599898491283
26,21,4,1,1,1,74.36923450185297
27,20,6,1,0,0,68.7363505104946
9,13,7,0,1,1,59.938010138269206
33,23,5,0,0,0,71.89998942745831
18,25,3,0,0,0,65.2391037054673
12,25,4,1,1,0,63.9660229168284
37,21,5,1,1,1,80.47257307220202
37,24,8,0,1,1,79.19092817981954
32,20,2,1,0,1,75.9543688478115
13,24,5,1,1,1,66.33399961347546
5,21,6,1,1,1,61.96515159743602
26,24,7,1,1,1,75.3835471661912
29,24,0,1,1,0,71.2545370473655
31,29,5,0,1,1,78.65220506427167
47,20,5,1,1,1,85.09527405430218
23,19,5,1,1,0,66.2374430670059
44,30,4,0,1,0,78.0176311846868
48,20,5,1,1,1,84.29683593326337
24,20,9,1,1,0,68.30435176782122
2,24,4,0,0,0,57.96973008987416
34,20,6,1,1,1,79.47268180162862
26,26,7,0,1,0,68.82600163496228
19,27,5,1,1,0,66.93440391944014
1,32,8,1,1,0,57.35424792131992
35,27,6,1,0,1,77.95390136733619
34,28,3,1,0,1,79.03415016172539
36,28,4,1,1,1,82.87402616392085
22,27,5,1,0,1,71.43890454384488
34,23,3,1,0,1,77.28603590150662
7,16,7,0,0,1,60.08837025301445
31,27,5,0,1,1,76.82813014942113
46,20,10,1,1,1,84.57737863976335
23,26,6,1,1,0,68.34424047077329
27,27,7,1,1,1,76.38276308691319
36,25,6,0,1,0,73.44424199774747
34,20,8,1,0,0,70.70163088077022
13,23,7,0,0,1,66.3324153428919
21,27,6,1,0,1,71.17663586319536
31,27,7,1,1,1,76.15036092317568
18,20,2,1,1,1,70.06284135696585
18,21,6,1,1,0,67.38334426376504
17,20,4,1,0,0,64.4976281378531
28,21,6,1,0,1,74.73550069019807
25,25,5,1,1,0,69.88499310516028
23,23,3,1,0,1,72.5245422480044
18,27,7,1,1,1,72.13301891981288
17,31,4,1,1,0,66.53148580300447
31,22,6,0,1,0,69.99913336576473
27,25,7,0,0,1,73.74823625199195
30,20,7,1,1,1,75.28739623660431
31,17,7,1,0,1,76.77434559939724
25,28,1,1,0,0,71.82961579081648
28,26,6,1,1,1,75.41111944435016
19,27,8,1,1,1,71.1633237394165
24,27,7,1,1,1,74.52517948269737
20,23,7,0,1,1,70.82702252894572
25,24,3,0,0,0,66.21037687063307
31,23,1,1,0,0,73.12804098185735
22,14,6,1,1,0,64.31173714482435
40,19,4,0,1,1,78.85034708451856
2,24,6,0,0,0,55.26964761886771
30,28,7,1,0,1,75.82423313718549
25,27,3,1,1,0,67.70745438018318
18,27,11,1,1,0,65.50423313280093
34,21,4,0,1,0,70.97714349186293
33,23,5,1,0,0,72.24684624095234
24,27,12,0,1,0,68.55320775654916
31,24,8,1,0,1,76.29876212408048
33,21,5,1,1,0,72.83344471147677
23,24,5,1,1,0,67.94593011958143
33,25,11,0,0,1,76.64917061188808
29,22,4,1,1,1,74.88650371287542
24,25,5,1,1,1,73.68565723159543
24,22,3,0,1,1,71.5776667542371
21,21,3,0,1,1,70.86830191459245
