age,income_level,gender,minority_status,health_score,policy_participation,health_outcome
7,7,0,0,22.837096538889195,1,19.311885350664923
8,5,0,0,22.788250977119823,1,19.491820277523036
8,4,0,0,16.792632526311735,0,4.855653872942382
10,3,0,1,21.779672521768024,1,17.588962060952916
5,4,0,0,18.549234502818635,0,7.903890888164747
7,7,0,0,20.87517925202018,1,19.66523933616185
6,4,1,0,18.68121029373048,0,6.850234007062389
8,3,1,0,18.93121545271831,0,7.717152065630024
10,5,0,0,19.89583964522496,0,7.1096571057882905
7,5,0,1,22.692099777238354,1,20.88210924083736
7,5,0,0,18.63305575931987,0,7.136365016132491
6,7,0,0,21.58643959790008,1,19.43057051091565
5,5,0,1,23.081071765735803,1,20.66808278047277
8,5,1,1,23.18786536229411,1,19.927253704250997
11,5,1,0,20.33163753330441,1,17.623155857352476
12,4,0,0,20.91537885634985,1,18.19675168411068
10,6,1,0,20.111862204384,1,18.364544512354577
6,4,1,0,19.13730950792463,0,7.692122394689137
5,3,0,1,21.364753953678555,1,19.52761527559374
6,6,0,0,19.09411083643612,0,7.480491050948903
3,7,0,0,23.15272403954883,1,19.580040770763304
8,5,1,1,19.43130499928672,0,7.964729869465223
7,5,1,1,18.57500930004326,0,7.22630440650171
12,5,1,0,17.693219973221417,0,5.116670040276889
7,7,0,0,20.54787493036248,1,18.2860207789561
3,4,1,0,18.452475169148,0,7.046133729462376
10,9,0,0,16.883680995466317,0,4.039857449274357
5,8,0,0,18.747253202472585,0,7.444980089167427
14,5,0,0,22.00141447378521,1,17.81685999587135
10,4,0,0,18.379689293343308,0,4.95478973088008
5,6,0,1,18.78684337591494,0,8.376109482310113
13,6,0,0,19.561696268353675,0,7.490614034630469
11,6,0,1,23.477106524329248,1,20.322490258695105
11,4,0,0,19.4959397858925,0,7.962357417080565
6,4,0,1,18.53769443685378,0,7.75690170926019
5,4,0,1,20.834562596827364,1,19.35375658599169
10,7,0,0,17.570968269721153,0,3.782911862775732
6,4,1,0,16.607564814827906,0,3.67180433775034
7,7,0,1,20.631516428622856,1,18.085500303805063
7,5,0,1,17.306325082538176,0,5.397478817331823
8,5,0,0,17.722907659467207,0,5.416968801199021
10,8,1,1,17.9140528104795,0,5.317289876444561
9,5,0,0,21.751531017787816,1,19.511098467861512
12,3,1,0,16.935193842988745,0,3.3843068564828744
5,7,1,1,18.88324773414306,0,7.612176863741866
11,7,1,1,17.80300660587907,0,4.555977709627544
9,6,0,0,20.45000996441104,1,18.90483404359351
11,5,0,1,19.206537132062632,0,6.73304415082138
5,7,1,0,17.771834240654595,0,4.851643798204895
6,6,1,0,21.463272899024968,1,18.83239594242084
9,6,1,0,20.61714450201137,1,18.71275254271827
6,4,0,0,21.590060895245426,1,19.834784813871217
