age,income_level,gender,minority_status,political_engagement_score,policy_exposure,post_policy_satisfaction
8,6,0,1,14.897883864525552,0,7.06062956260343
4,8,1,1,16.556496717447544,1,19.09807940757654
11,7,1,0,13.512981287175071,0,4.7383675643607015
4,6,1,1,15.256860602932704,0,7.64543592415024
9,1,1,1,14.292382685265068,0,6.828330174471181
8,4,1,0,15.963391557406425,0,8.337570406326998
11,7,1,1,18.135563789232773,1,19.90006799638318
9,6,0,0,19.550006035401427,1,21.60601886866024
10,6,1,1,13.138185480209613,0,4.17874588873925
5,8,1,0,16.881938221880908,1,19.789094331611068
10,8,0,1,13.546546138371577,0,5.507731099243044
8,8,1,0,13.716657515854113,0,4.58801270092468
5,4,1,0,18.61224925893951,1,21.48897899535296
5,8,0,1,16.372509230275092,1,19.15239682309248
5,6,1,0,13.1240056963496,0,4.658982858999079
5,6,0,0,16.817396921138727,1,19.47560126921367
5,5,0,1,16.937431767250583,1,20.404609661565697
0,6,0,1,14.637127725365504,0,7.610210218474041
8,4,1,0,14.477468591995862,0,6.687053397814504
10,6,0,1,16.283991815038902,1,19.420818983600203
6,5,1,1,13.44502154493358,0,5.771290343652231
4,5,1,1,16.697078493894097,1,20.08228408577895
12,1,1,0,13.785632332388712,0,5.603373050488496
7,5,1,1,16.616553965320563,1,19.42815747375897
10,6,0,0,14.700098994923732,0,6.661335228139607
13,4,0,0,15.28750709170891,0,7.006143749957035
4,5,0,0,20.2225350720554,1,22.91236474805385
7,5,1,1,16.57156884554451,1,18.57371205105634
4,6,0,0,14.123400519998995,0,6.148149838941136
7,7,1,0,13.663452986296477,0,5.922172663425863
8,6,0,1,16.452306026189987,1,19.688805209099325
4,4,0,1,18.29249122388523,1,20.02097359288824
12,6,0,0,15.401144144325755,0,6.78644920020327
13,7,1,0,17.386212147386768,1,19.65630019099514
10,6,0,1,13.481046222992305,0,4.379994500828956
0,5,0,1,17.758912259662072,1,21.07475855937564
4,7,1,1,17.248434803765175,1,20.0365235985415
2,6,1,1,13.852776112423872,0,5.410366770324228
9,5,0,1,16.70511551098093,1,19.738727151026698
4,4,0,0,12.84585081597655,0,4.961361350658641
9,5,1,0,15.941462109064831,0,8.092527327399745
9,5,0,1,13.288158790616006,0,4.818607727256442
9,6,0,1,16.46230403160891,1,19.21087545493494
3,4,1,0,17.019544712341055,1,20.578761741188284
10,4,1,0,18.19015158639864,1,20.69368721086117
15,9,0,0,18.72155329321594,1,20.11661828411854
