individual_age,individual_income,gender,minority_status,credit_score,housing_subsidy,home_ownership_rate
12,6,0,0,25.50156485057912,1,16.520937379673885
3,6,1,0,23.67220981650817,0,7.728451770196345
8,5,0,0,23.257920241083596,0,8.27336637525555
4,5,0,0,25.215364650712672,1,16.353055219125626
6,7,0,0,25.08822847403601,1,16.577676929654398
9,8,0,0,23.59502862850376,0,8.366617485078105
11,7,1,0,25.317372085569424,1,16.478140103988014
2,3,0,0,27.200643801826597,1,18.674119550163343
4,5,1,0,21.82771371310047,0,4.021907155306151
10,6,0,1,26.791159336090484,1,16.92719834751124
8,6,0,1,25.53531701946158,1,17.973506903360764
10,3,0,1,26.151377545823895,1,17.51651923211134
7,4,1,0,26.072231267759697,1,17.36071799419624
5,6,0,1,24.996523362620504,0,9.941022290670585
7,6,0,0,24.4299219993182,0,9.718473958893588
9,7,0,0,26.852024978012093,1,17.752871533681283
10,5,0,0,25.61246927671158,1,17.61858029097147
10,6,1,0,22.772141280310688,0,6.996657518514004
7,5,0,0,22.313034957958504,0,6.696839972592137
13,7,0,0,24.005229764657184,0,8.193253493649118
9,6,0,0,21.83311974106091,0,5.081654776694808
7,5,0,0,25.891143673906537,1,16.934836952638513
5,4,1,1,27.396498744578007,1,18.337784792678992
10,5,0,0,23.58525145128131,0,7.682983294665164
11,7,0,0,27.415073177354596,1,18.054660235416502
12,3,0,0,23.83042279892622,0,9.180981307494555
4,8,1,0,26.240545008172457,1,16.697947819982517
8,8,0,0,26.53133621680596,1,17.632963299498673
10,4,1,1,25.63658537786373,1,17.205938682027085
3,5,0,1,24.88358170480522,0,10.444129328603092
12,5,0,1,30.31790088105707,1,20.09684730281717
10,6,0,0,26.448286366337115,1,17.865640240494972
5,3,0,1,26.786640008832823,1,17.82638565989243
7,4,1,0,28.09211473544126,1,18.6424156976976
1,3,0,0,20.739114893076643,0,3.2285810737342047
13,7,0,0,24.930672696287257,0,9.876654959585244
8,8,0,0,21.472049804491714,0,4.451562742983112
7,5,0,0,26.15267772761267,1,17.790962618934426
11,5,0,0,26.5900041054058,1,17.768769792310135
2,5,1,1,22.85578743628613,0,6.017806568027416
6,6,1,0,27.464518903401423,1,17.801942625854974
8,6,0,0,18.702236121349124,0,1.5815137415515403
6,5,1,0,27.90662398494206,1,19.005003676298685
8,6,0,0,23.7521364217872,0,7.778301509199505
13,6,0,0,23.056104967720398,0,7.457458733699362
8,7,0,0,22.728099949339292,0,6.595931311466127
9,5,0,0,26.19323377190068,1,18.76781215046077
11,6,1,0,23.4392476186625,0,8.07595442182808
9,5,1,0,25.80887976311145,1,16.648632798388178
2,5,1,1,24.94947558744308,0,9.45339256635552
5,7,0,0,21.70230562481268,0,4.900947702953698
8,5,0,0,24.734509695865203,0,9.25187695016584
3,4,1,0,24.1936816409173,0,8.920956529452344
7,6,0,0,26.13864138508653,1,17.12015073465366
3,5,1,1,27.19664239398938,1,18.8029963645334
6,5,1,1,25.16899813301202,1,16.64091225779649
