age,income_level,gender,minority_status,political_engagement_score,policy_participation,post_policy_satisfaction
9,8,1,0,9.064645125769314,1,19.78438086832116
6,5,1,1,6.913770462111019,0,8.623488942815886
8,7,1,1,10.615610640655095,1,20.446860171028284
3,7,1,0,6.703887280571424,0,6.87424376435051
9,3,1,0,13.613859931959528,1,23.069959469926065
6,5,0,1,11.113028620895566,1,20.37997603000836
8,6,1,1,9.12197779828982,1,19.721105197853294
10,5,1,1,8.892426394646098,0,11.240400721720622
8,7,1,1,9.638194055613152,1,19.616710053553103
4,5,1,0,8.540034108154039,0,9.285229851746704
6,3,0,1,9.240005890135562,1,18.305675010267613
1,3,0,1,8.93800651975767,0,9.67145427511012
6,6,0,0,4.819471697759037,0,4.5676826762351785
9,4,0,0,9.72272984407221,1,20.051490348387105
10,6,0,1,6.057961233284695,0,6.870169114774836
9,5,0,1,8.141798869473908,0,9.244728745274328
10,7,0,1,12.404197186821294,1,22.16950886695892
5,5,0,1,7.425786776616685,0,8.21975684810557
4,7,1,0,7.773146752924095,0,9.00964762539723
4,5,1,0,6.299097591861688,0,6.345838462122402
8,3,1,1,9.666618956687238,1,19.972264639323384
13,9,1,0,9.148279295537304,1,19.5009783402212
6,6,0,0,8.862496639927038,0,9.771670322281937
8,4,0,1,9.958472210851484,1,19.8327403615251
5,5,1,1,10.675267949730245,1,20.40336403864936
5,6,1,0,9.476876452741752,1,19.458409964234555
5,10,0,1,10.314105222179412,1,19.92281478339472
11,3,0,1,9.321911398257091,1,19.456606326019664
14,8,0,0,7.153308062516174,0,8.870907223227277
4,6,1,1,4.785599737009195,0,4.433525389165242
6,7,0,1,7.560408420149528,0,8.332234789332361
9,6,1,1,9.015677485327553,1,19.05332339879357
10,6,0,0,10.624727076647924,1,20.840707854789507
5,6,0,1,11.165631265678543,1,20.44415932686353
7,4,1,1,8.425693756806059,0,9.762624009390525
8,3,0,1,9.514280606665126,1,19.487230175568158
8,3,1,1,9.272305688704373,1,18.8689352071176
4,3,1,1,10.112540949328295,1,20.512530016417298
11,4,0,1,9.182896388035555,1,19.253672608359064
9,3,1,0,10.22222015115718,1,19.421787946701905
5,6,0,1,9.623372974578391,1,19.91012024946926
5,5,0,0,6.746963019587737,0,6.476579314427618
