age,education_years,personal_income,price_index,gender,rural_residence,trade_agreement_participation,presence_of_trade_agreement,tariff_reduction,import_volume
9,29,7,10,1,1,0,9,41,84.42484214921954
18,29,4,16,0,0,0,11,48,96.63848674994088
13,28,4,13,0,0,0,6,45,93.95125516458546
6,30,4,11,1,1,1,8,43,89.6185318416714
4,29,11,14,1,0,0,7,37,78.7105904134447
13,33,10,14,0,1,1,8,41,84.77734229137154
12,32,8,13,1,1,1,10,44,90.41063541095252
15,32,5,17,0,0,1,8,49,96.61030713588328
9,34,11,15,1,1,1,12,41,83.19990973093753
11,28,8,19,1,0,1,11,46,92.30418372812196
6,31,13,14,1,0,0,7,36,78.56776438834534
11,28,10,15,1,1,1,11,44,91.22254687800854
11,25,13,14,1,1,0,12,40,87.63955233626837
15,30,11,16,0,0,1,11,45,92.56372695463445
12,28,6,17,1,1,1,9,44,90.15673884677332
11,29,6,16,1,0,1,6,45,93.86842685016808
7,31,10,15,1,0,1,7,39,83.10948386376784
10,27,11,12,1,0,0,8,39,83.21513926634697
11,28,6,11,1,1,1,4,42,90.13714970957136
8,33,11,13,1,1,1,10,42,89.73930742114253
10,28,9,16,1,1,1,8,41,84.80172012520372
11,29,8,19,1,1,1,9,45,93.08694718036398
7,30,15,16,1,1,0,13,38,79.10276475337051
12,24,9,16,1,0,1,8,43,92.21388647313434
13,30,7,10,1,1,1,8,42,90.89201734277238
12,30,9,15,0,1,0,11,42,86.40116730448732
6,27,10,11,1,1,0,9,38,84.06971130170793
15,29,10,15,1,1,1,9,44,93.3415341776372
11,28,7,13,0,0,0,9,45,92.77962821334415
10,29,4,11,1,0,1,10,43,89.56805837056491
7,27,7,16,1,1,1,7,39,81.03137795944765
13,31,3,15,0,1,0,10,49,96.70788253575918
11,30,9,13,1,0,1,10,43,87.29789794785992
6,28,9,11,1,0,1,10,41,88.96115794236697
10,34,9,14,1,1,1,7,40,83.04761894196388
6,30,2,8,1,1,0,9,43,90.01009336263841
10,26,7,15,1,0,1,7,41,89.47021831806916
13,32,8,14,0,0,0,6,43,88.97020460671064
11,29,7,14,1,1,1,8,42,87.27850839018217
10,28,14,13,1,1,1,9,39,88.64763007936097
5,28,7,16,1,1,1,9,43,93.60304624951635
13,29,5,16,0,1,1,10,45,90.2267366830244
7,29,6,13,1,1,0,8,42,88.19862288825749
10,25,6,10,1,0,1,6,42,92.10871270855448
14,32,1,12,0,0,1,8,47,93.86160223472184
4,30,7,14,1,1,0,10,43,87.71957266626772
8,29,9,14,0,1,0,8,39,83.69859869066264
8,28,9,12,1,1,1,9,42,88.87117632984226
6,26,8,12,1,1,0,8,40,89.76299086820988
9,28,8,12,1,1,0,6,42,87.49874991854759
8,32,5,15,1,1,1,10,45,91.80255182642746
8,32,4,10,1,1,1,10,43,88.11693341711063
7,29,10,10,1,0,1,5,38,87.6346114430926
9,27,3,14,1,1,1,7,47,98.05964944062788
5,30,7,10,1,0,1,11,44,90.4739085539123
12,30,6,12,0,1,0,7,44,92.86565431480297
9,27,10,14,1,1,0,4,37,81.90501972335753
12,28,8,14,1,1,0,9,41,86.73924218765666
14,30,3,16,1,1,1,11,48,94.22167591761276
7,34,9,12,1,1,0,7,37,79.85154807449503
7,28,9,16,0,1,1,5,43,89.33745322275529
12,30,-1,14,1,1,1,8,45,90.43775605438718
9,29,5,14,0,1,1,8,44,88.94948690593566
6,30,6,8,1,1,0,12,41,86.9594750632725
10,29,7,18,1,0,1,8,46,95.69763273826057
8,33,12,16,1,1,0,9,38,77.32314306977707
7,28,6,12,1,1,1,9,42,89.7120014034703
13,33,8,15,1,0,1,10,44,89.2239248178813
4,30,6,14,1,0,0,6,39,81.78247254673424
9,27,8,10,0,1,1,5,39,85.34401420971037
9,28,9,15,1,1,0,8,41,86.99839527932181
12,27,7,10,1,1,0,9,42,89.31445930127052
5,31,13,10,1,0,1,6,35,80.94971386852467
9,34,8,10,1,1,1,8,42,91.12032063804084
7,30,8,15,1,1,0,7,42,86.93366814827766
7,27,3,9,0,1,0,10,43,91.84886261012386
11,30,4,14,1,1,1,9,46,96.82239584622884
9,29,7,11,1,0,0,11,42,88.45506696945374
12,30,5,15,1,1,1,4,43,90.27642108941735
6,30,6,13,0,1,0,11,44,91.60909746934855
11,33,7,12,1,1,1,9,42,84.5798566811816
16,28,9,17,1,1,0,7,43,88.87418653355934
11,30,7,17,1,1,1,6,44,93.8731180135221
12,33,4,13,1,0,0,7,46,91.98813580459544
8,28,14,13,0,1,1,8,36,83.06749895415865
11,28,4,5,0,0,1,8,41,90.46664286652276
10,30,4,8,1,1,1,6,43,90.48063499814602
7,27,10,12,1,1,1,9,40,87.56005623965248
10,27,9,12,1,0,1,8,38,83.03352401639982
6,32,8,18,1,1,0,10,43,86.37719696387268
8,26,11,14,1,0,1,8,39,84.694100894125
10,32,11,11,1,1,1,9,37,80.35795240109778
8,34,0,12,1,1,1,10,48,95.13490341824595
12,31,6,11,1,1,1,10,46,96.35914898603929
12,28,9,10,1,0,0,6,42,91.70835669245808
5,30,12,13,0,1,0,6,36,79.93347320603664
11,28,7,12,1,1,0,9,43,92.28914950609834
13,28,3,13,1,1,1,5,45,93.5853510849176
