age,education_years,income,political_engagement_score,trust_in_government_score,gender,minority_status,rural_residence,political_campaign_exposure,voting_behaviour
25,12,11,16,2,0,1,0,0,48.78259643404684
44,18,9,12,0,0,0,1,1,52.164311024184336
34,27,13,17,6,0,1,1,0,45.737623953971
34,22,6,20,4,0,1,1,0,45.192586654710986
19,17,7,14,5,0,1,0,1,56.1094168122916
36,14,11,8,2,0,1,0,1,53.395076491747645
26,16,14,17,5,0,1,0,1,56.46834077499132
22,12,10,18,2,0,0,0,0,49.99014217511575
21,9,10,12,4,0,0,0,1,55.66685818565061
31,22,12,7,1,1,1,1,0,47.16743156753497
22,26,8,11,3,0,0,1,0,46.04254831135447
38,15,9,8,3,0,0,0,1,52.022551342153015
33,19,9,10,5,1,1,0,0,44.11899626084747
24,32,15,16,4,0,0,0,1,59.08778187030761
22,30,13,12,5,1,0,0,0,48.006243254749066
24,27,7,22,3,0,0,0,1,56.235017837007305
38,27,10,11,3,0,0,0,1,49.73695933491803
34,20,8,14,2,0,0,1,0,46.44962292395055
22,24,9,14,2,0,1,0,1,55.76997275153206
35,14,4,15,6,1,0,0,0,41.72500638689312
36,11,10,14,3,0,0,0,1,53.96235202958543
36,14,6,23,4,0,0,1,0,46.249623700329366
24,6,14,11,2,1,0,0,1,56.56340485822003
15,20,11,15,3,1,0,1,0,51.85023929729181
34,23,7,13,2,0,1,1,1,53.81193401623077
30,17,6,9,3,1,0,1,0,43.81611907751829
27,3,9,8,5,0,0,0,0,44.38616197324862
40,23,10,18,7,1,1,0,1,54.9709362155578
24,27,10,8,2,0,0,1,1,56.67730956349868
19,27,6,12,3,0,0,0,0,46.677439809308105
26,21,9,17,3,0,0,0,1,55.40867164481321
42,16,6,16,3,0,0,0,1,49.24623551526028
30,16,5,12,0,1,0,0,0,45.65060449498922
41,23,14,10,3,0,0,1,1,53.78783253611199
34,15,10,15,4,0,0,0,1,55.7754599420283
44,12,9,13,6,0,1,1,1,50.028147336276405
30,34,10,5,0,1,1,0,1,52.82464207304461
13,8,11,11,5,0,0,1,0,49.502088895213085
41,19,6,17,2,0,1,0,1,52.54135149950724
24,27,13,18,2,1,0,0,0,49.202579632908105
41,21,15,2,3,1,0,0,1,53.040412557538566
43,19,9,7,2,1,1,1,0,41.99766372058945
28,28,5,9,1,0,0,0,1,51.826554245180354
11,34,12,10,1,0,0,0,0,50.11312241735324
19,10,9,20,4,0,1,1,1,59.62167422667066
41,24,13,14,1,0,1,0,1,53.96064082108648
29,23,10,8,2,1,1,0,1,54.3370192606124
22,11,10,14,1,0,0,0,1,57.88101168199031
27,13,6,12,3,0,1,0,1,52.85721948320774
37,26,7,20,5,0,0,1,0,46.75137536644572
38,21,8,8,4,0,0,0,1,50.8440927290416
31,12,12,14,1,0,1,0,1,56.37862899741736
36,18,10,11,4,0,1,0,1,52.72480837640016
20,13,10,15,2,1,1,0,1,56.758243576615705
36,16,7,19,3,0,0,1,1,53.348282149710336
37,10,11,12,4,0,0,1,0,45.5076957492192
7,23,9,13,3,0,0,0,0,50.16135188038008
27,23,6,19,3,0,0,0,1,55.395659194738215
26,25,10,19,4,1,0,1,0,48.80081366734321
37,20,13,13,3,0,0,0,1,53.4590734986005
14,20,12,15,4,1,1,1,0,49.19305881590737
20,18,8,10,2,1,0,1,0,48.25133288709347
44,15,9,12,3,0,0,0,1,52.101950149976346
32,6,8,17,4,0,0,1,0,46.98058165297761
24,19,12,19,4,0,0,0,0,50.43129345516919
34,20,11,16,4,0,1,0,1,54.48251833313789
40,11,11,19,3,0,0,0,1,55.17311586238014
32,17,9,15,7,0,1,0,0,45.64564335999291
36,13,11,17,3,0,0,0,1,55.6059336583756
38,19,10,25,3,0,1,1,0,47.8872486351014
36,20,5,15,4,0,1,0,0,43.2769295459346
27,25,7,14,4,0,0,0,0,48.60660307044832
20,10,13,20,6,0,0,1,0,50.01489988618003
37,9,11,16,6,1,0,0,1,50.97984788117343
24,8,8,10,4,0,0,1,0,46.83829385625832
21,24,14,7,4,0,0,0,0,49.93167562412221
26,18,5,19,5,0,0,1,0,44.55367885231622
21,19,10,23,6,0,1,0,1,56.20107491280342
8,19,11,7,4,0,0,0,0,48.8309892030312
28,9,9,17,1,0,1,1,1,56.17507609965868
33,17,8,15,4,0,1,0,1,52.785197860529856
21,19,7,9,3,0,0,0,0,47.259174374526864
20,34,14,10,5,1,0,1,0,47.17818033107237
39,5,12,5,0,0,0,1,1,53.34965572044104
30,21,8,8,5,1,0,1,0,43.83733507057565
41,22,8,11,3,0,0,0,1,49.78636097567274
26,6,10,10,3,1,1,0,1,55.34430670820843
16,18,12,14,5,0,1,0,0,48.98188383823951
23,16,14,20,0,1,1,0,1,60.22390051440704
35,26,10,15,4,0,0,1,1,53.7148275208749
28,17,13,7,6,0,1,0,1,53.31662567268442
22,11,8,9,5,0,1,1,1,52.702977690805525
21,27,8,11,4,0,0,1,0,46.82487610562077
28,13,10,21,2,0,1,0,1,57.677838359573066
31,16,10,11,2,0,1,0,0,47.45265287575151
28,27,7,8,3,0,0,1,0,45.46048893770044
28,18,4,6,5,0,0,0,1,49.980337246463215
19,11,8,8,8,0,1,0,0,44.15740607044822
53,28,11,11,2,1,0,0,1,50.46467499270998
38,27,12,4,1,0,1,1,0,44.95433635118594
11,29,11,25,1,0,1,1,0,53.03235331276748
27,15,14,12,3,0,1,1,0,47.440978671948514
21,21,13,13,5,1,0,0,0,50.13629705529091
40,9,7,14,0,0,0,1,0,45.83866849660812
30,23,10,14,4,1,0,1,0,48.080713247010095
18,31,12,7,2,0,0,1,0,48.90287708040533
32,20,10,14,4,1,0,0,0,46.964292325105546
19,18,13,13,4,1,1,0,1,57.44514212634193
31,11,14,10,1,0,0,0,1,56.271549033148446
25,27,10,9,3,0,0,1,0,47.02350244807104
38,13,13,13,1,0,0,0,1,56.74301289851908
41,9,13,13,0,0,1,0,1,55.627269553765146
41,24,10,14,2,0,1,0,0,45.42228133600819
32,25,7,19,2,0,1,0,1,54.57044673372015
15,19,6,10,5,0,0,0,0,44.78277892511619
33,23,8,14,6,0,1,1,0,42.5003227095028
35,20,7,12,3,0,0,1,0,42.50440752582821
18,24,10,7,4,1,0,0,0,45.90059457101269
32,22,12,10,5,1,0,0,1,54.12003248085873
39,24,12,9,3,0,1,0,1,53.3046754395657
31,30,4,5,0,0,1,1,0,43.31890977983274
24,27,10,14,3,0,1,1,0,45.337232375203214
29,19,11,6,5,0,0,0,0,45.61679919333766
25,24,10,10,5,0,1,1,0,46.52339507686524
28,30,11,13,4,0,0,0,0,45.511996338746215
31,17,7,17,3,0,1,0,1,55.69769166340614
21,14,12,28,3,0,0,0,1,60.40535813132348
35,19,6,15,2,0,0,0,1,54.33285076144527
37,23,11,19,6,0,1,0,1,53.61004073087312
45,26,6,18,3,0,0,1,1,49.850227880594886
45,15,9,17,4,0,0,0,0,43.396141403407256
34,11,6,16,2,0,0,0,1,53.2770504622283
40,26,7,22,5,1,1,0,1,52.52480417884525
40,36,9,13,3,0,0,0,1,51.22421974254731
38,21,10,16,4,1,1,0,0,45.40365492363421
30,26,12,21,5,0,1,0,1,58.15208089968621
35,19,4,18,3,0,0,0,0,44.12412578254934
30,11,12,11,4,1,0,1,0,45.539439169321625
26,19,12,16,4,0,0,0,1,56.73459046572862
31,23,6,9,2,0,0,1,0,44.1238660751009
36,19,10,2,4,1,0,0,0,42.01286108706517
42,17,14,13,1,0,1,0,1,55.08982347124577
37,25,13,13,5,1,1,0,0,44.84417168157586
35,16,11,14,5,0,0,0,1,52.61064844493926
23,30,6,21,4,0,0,0,0,46.61283488244859
26,18,7,17,4,0,0,0,0,46.34990494727422
36,23,6,9,4,1,1,0,0,39.577699921943655
23,16,7,22,4,0,1,0,1,57.0983571443761
38,10,5,8,3,0,0,0,0,40.75925058789008
33,19,12,8,5,0,0,1,0,45.13532443395109
21,27,9,18,3,0,1,0,0,48.5196295944687
17,19,11,8,4,1,1,1,0,49.426097584320026
25,20,5,12,1,1,1,0,0,48.2096192313771
36,13,5,10,2,1,0,0,1,51.48822608566808
33,26,9,16,1,0,0,1,0,46.188511512802215
28,14,12,12,3,0,0,1,1,54.49374120796693
