household_id,post_microloan_period,microloan_received,business_growth_rate,age,income_level,rural_residence,previous_loan_status
0,0,1,53.03109554023168,3,8,1,1
1,0,0,50.8418762723121,4,9,0,0
2,0,0,51.9638378164862,4,7,0,1
3,0,1,51.66238939671352,3,8,1,0
4,0,0,51.31640765710488,1,9,1,1
5,0,1,52.915564885851545,4,7,1,1
6,0,0,51.18446744919346,1,11,0,1
7,0,0,52.43266838580495,1,6,1,1
8,0,1,53.05851192931391,2,6,0,0
9,0,0,51.59840880506739,2,7,0,1
10,0,0,51.80645386850656,3,10,1,0
11,0,1,54.43954088041362,4,6,1,1
12,0,1,52.62376510175277,2,5,0,0
13,0,1,51.36028729247053,2,9,1,0
14,0,0,52.73342081954667,3,9,1,0
15,0,0,54.74027368956164,2,5,1,0
16,0,0,51.53370231407758,2,5,1,1
17,0,0,52.62387138991155,2,9,0,1
18,0,0,52.60098788040031,3,9,0,0
19,0,1,52.88785653088928,2,4,1,1
20,0,1,52.976031316779256,1,7,0,1
21,0,0,50.38625091640643,1,7,0,0
22,0,0,52.16321253134181,2,7,0,0
23,0,1,50.60131258026952,3,5,1,0
24,0,0,55.23869241454165,1,7,1,0
25,0,1,53.71094770223637,2,6,0,1
26,0,1,52.86108257824296,4,8,1,1
27,0,0,53.479974233673786,2,4,1,0
28,0,1,53.44878292163286,3,6,1,1
29,0,0,53.46098050249434,2,5,1,0
30,0,0,51.27040413822886,3,4,1,0
31,0,1,52.84421539990635,1,6,0,1
32,0,0,50.41366371949931,4,6,0,1
33,0,1,52.83413184990916,3,6,1,1
34,0,1,52.52779693494947,2,9,0,1
35,0,0,53.409279143374086,2,10,0,1
36,0,1,52.79215494677988,2,4,0,0
37,0,0,51.61816959551465,4,8,0,1
38,0,1,55.37326869887567,1,8,0,0
39,0,0,52.86881527423366,3,7,1,0
40,0,0,51.74913211196134,2,5,0,1
41,0,0,52.52320564458923,2,6,0,0
42,0,1,53.76382383886392,2,7,0,1
43,0,0,53.03492996194823,3,8,0,1
44,0,0,52.7557920832974,3,10,0,1
45,0,0,52.77813446826926,3,8,0,0
46,0,0,51.33117131554413,0,6,0,0
47,0,1,52.06096036524711,2,6,1,1
48,0,1,53.11522712900352,0,6,1,0
49,0,0,52.10324585422704,2,5,0,1
50,0,1,51.41060945912982,2,5,1,1
51,0,1,53.99703520427599,2,6,1,0
52,0,0,52.8508151995222,3,9,0,1
53,0,0,51.37197649806628,2,3,1,0
54,0,0,53.271576305447184,1,5,1,1
55,0,1,53.71404671812709,2,10,1,1
56,0,1,51.507746241410025,2,9,1,1
57,0,1,53.2244771810049,1,8,1,1
58,0,0,52.97235306480842,2,2,1,0
59,0,0,51.5620345037846,2,7,0,1
60,0,0,52.95481070962524,4,9,1,0
61,0,1,50.64815025574068,3,7,0,0
62,0,1,51.0741841308743,3,7,1,0
63,0,1,52.45588869091374,2,5,1,0
64,0,1,54.22255010063058,4,7,1,1
65,0,0,52.73401575344879,3,9,1,1
66,0,1,54.381921232177554,2,4,0,1
67,0,1,54.496601319497735,4,7,1,0
68,0,1,53.49082062000976,3,6,1,1
69,0,0,52.951984985845286,4,6,1,1
70,0,0,52.30486071155997,2,8,0,0
71,0,0,52.95549066143456,4,9,1,1
72,0,0,53.143309214522965,3,7,1,0
73,0,0,51.6860994701165,2,9,1,0
74,0,0,52.69838704598611,2,6,0,0
75,0,0,53.04582892667226,4,7,1,1
76,0,0,51.08424574134306,2,6,0,0
77,0,0,52.02103265606422,3,8,1,1
78,0,1,52.633796301145,2,6,1,0
79,0,1,52.58969286214795,4,7,0,0
80,0,0,50.83075674983816,4,6,1,1
81,0,0,52.841621446944565,2,5,1,0
82,0,1,52.596370290996965,4,6,0,1
83,0,0,51.32992476366218,2,6,1,0
84,0,1,54.38564580002504,3,6,1,1
85,0,1,53.9866474276237,3,8,1,0
86,0,1,53.19567228251755,2,6,0,0
87,0,0,51.22833018056124,1,8,0,1
88,0,0,55.389529081304445,2,7,0,0
89,0,0,52.86433759607994,1,5,1,0
90,0,0,52.424504337633095,3,8,0,1
91,0,1,52.60112657480271,4,6,1,0
92,0,0,52.47624790423893,2,11,1,1
93,0,1,52.87722673341566,3,6,0,0
94,0,1,53.20220575535417,2,7,0,1
95,0,1,52.09861764535224,3,7,0,0
96,0,1,52.21353737556501,0,8,1,0
97,0,1,52.06600702569131,3,5,1,1
98,0,0,52.701720234675165,2,1,0,1
99,0,1,52.99873363977058,3,7,1,1
100,0,1,52.33960318673196,3,8,1,1
101,0,0,51.85531040901196,3,8,1,1
102,0,0,53.81740651995269,5,4,1,0
103,0,1,53.00260152939371,2,9,1,1
104,0,1,52.20806790429192,5,7,1,0
105,0,0,52.3346342120877,4,5,1,1
106,0,0,52.18803776291733,2,6,0,0
107,0,0,51.73336976010807,3,6,0,0
108,0,1,53.32919301394516,2,6,1,0
109,0,1,53.26616738097763,1,10,1,1
110,0,0,50.60850217577258,3,6,0,0
111,0,0,50.78152436409673,3,7,0,1
112,0,0,53.60177853772575,2,5,1,0
113,0,0,52.82961240731917,3,7,1,0
114,0,1,53.69216269673348,1,6,1,1
115,0,1,52.67229764992294,3,5,1,1
116,0,1,52.566733815839726,3,3,0,1
117,0,0,52.457047798003806,4,9,1,1
118,0,1,54.65680728544815,3,4,1,0
119,0,0,53.79899385541325,3,4,1,1
120,0,0,51.437834670098944,2,8,0,1
121,0,1,53.40232311990114,2,6,0,1
122,0,0,53.84708128855316,2,8,0,1
123,0,0,53.332959905770345,4,7,1,1
124,0,1,53.02171992309658,3,8,1,1
125,0,1,52.61494931934519,2,7,0,1
126,0,0,53.8984801189623,1,8,1,1
127,0,0,51.794087652607,3,4,1,0
128,0,1,52.36992139747973,4,5,0,0
129,0,0,52.47680793512449,1,7,0,0
130,0,1,53.71243527009245,2,7,0,1
131,0,1,51.90786139240686,2,5,1,0
132,0,0,51.94665705647661,2,4,0,0
133,0,0,52.95499633683277,1,5,1,1
134,0,0,53.55855891097128,3,6,1,1
135,0,0,53.01331889933781,1,7,0,1
136,0,0,52.17409102993992,2,6,0,1
137,0,1,52.33481993666235,2,4,1,1
138,0,0,51.337006903265966,3,5,1,1
139,0,1,52.531856148364106,1,7,0,1
140,0,1,53.54032129919539,3,5,1,0
141,0,0,51.89203670513246,3,6,0,0
142,0,0,51.97577051087796,2,8,1,0
143,0,1,52.97155407212264,1,8,0,1
144,0,0,53.133928976561386,2,5,1,1
145,0,0,52.971430692575886,3,7,1,0
146,0,1,53.96983776055134,2,6,1,1
