education_years,age,gender,union_membership,local_unemployment_rate,job_training_intensity,annual_income
12,31,0,1,9,16,210.17273287270444
13,29,0,0,4,16,206.51607084386976
8,31,0,1,11,15,198.84699656083123
7,30,0,1,8,13,183.5562601207448
16,26,1,1,10,22,250.27858514621525
15,31,1,1,8,14,194.50374778506625
10,30,1,1,7,15,197.297175618973
9,24,1,1,9,20,229.4352026229835
4,35,1,1,6,9,156.99840915316608
9,37,1,1,8,11,180.131349933311
10,28,1,1,7,16,202.89595041197708
10,24,1,1,10,19,220.6638930712018
8,29,1,1,5,16,206.9755620223403
11,30,1,1,8,12,173.82683747907942
11,30,1,1,8,16,203.3252739356794
9,30,1,0,5,15,200.3546203476671
14,31,1,1,10,17,217.1325060151531
14,32,1,1,9,16,211.6151262489208
13,28,1,1,5,16,203.0349934405966
9,29,1,0,6,13,176.9435715940479
8,30,1,0,9,16,204.7562346966388
13,30,1,1,7,16,206.25464262264964
9,29,1,1,6,13,182.410292517975
11,30,1,0,11,19,230.8034629623818
14,32,1,1,11,17,219.8131148529136
8,30,1,0,8,14,189.7414891103374
7,29,1,1,12,16,205.16053271209387
12,33,0,0,10,16,209.51566925597592
12,32,0,1,6,12,179.21356792591786
12,30,1,1,6,17,216.01700511447984
6,31,1,1,10,15,200.72916968665896
11,30,0,1,7,17,217.62489535147327
8,30,1,1,3,12,173.70212436577074
13,29,1,1,7,18,223.44619218679
9,33,0,1,11,14,193.53476934022447
10,31,1,1,10,16,207.91481973778048
10,28,0,1,5,15,195.3604266825913
10,31,1,0,9,16,210.08784783023796
12,29,0,1,5,14,189.9152398086371
9,30,1,1,7,15,197.95725589060345
11,28,0,0,7,17,213.43312117886924
9,28,0,1,6,16,200.16465277644087
7,29,0,0,8,14,185.30675391974236
14,28,0,1,10,18,215.9566888299119
8,32,1,0,6,13,187.66394922256887
12,31,1,1,7,14,192.18051859250136
14,32,1,0,8,17,219.2617343950864
9,29,1,1,8,16,206.67926640885068
11,29,0,1,7,19,229.87443576121188
9,27,1,0,8,16,198.7439819790753
10,29,1,1,8,16,205.1148756123885
14,29,0,1,6,16,205.4398770365363
4,33,1,1,9,12,179.00693692477236
12,32,1,0,12,16,208.6198306995745
6,29,0,0,6,13,180.51850052208604
13,29,1,1,4,13,180.7433949742845
13,31,1,1,12,15,201.4593137570887
9,30,0,1,6,15,199.25291191191988
11,33,1,1,7,13,186.87220613031295
4,27,1,0,7,15,192.70510244435923
11,33,1,1,7,14,195.4824451971843
15,32,0,1,5,15,201.8754684840481
17,29,1,1,7,18,221.86522528615387
8,25,1,1,11,17,205.74964895276696
13,30,0,0,5,17,215.2699321926116
10,28,1,0,7,16,203.73474269120044
6,32,1,0,8,14,195.52386471450927
5,28,1,0,8,14,186.51625510652104
11,28,1,0,7,18,219.68626281991385
6,29,1,0,10,17,214.349525162562
10,28,1,1,11,16,203.8215981744711
7,33,1,1,7,13,188.2720897773085
13,30,0,1,7,17,214.2808653667504
13,28,0,1,9,18,222.2594591832328
6,33,0,1,11,13,184.99036731995332
8,27,1,0,9,18,216.93091054604076
8,26,1,0,11,19,223.74792427790376
9,30,1,1,6,14,193.2878277934292
6,30,1,1,9,15,197.4891699794354
11,31,1,0,6,12,171.5822026169855
13,29,1,1,8,16,203.5773787700805
10,27,0,0,8,19,225.12752062718567
5,30,1,1,10,16,206.86005724204924
7,33,0,1,7,13,185.96412261689863
9,27,1,0,6,18,216.55036603464285
15,27,0,1,7,19,229.46305656491504
9,28,1,0,7,15,193.66817469165557
8,30,0,1,11,17,212.11918667197637
6,30,1,1,4,13,182.9255393993855
6,31,1,0,8,13,183.89938804357183
12,27,1,1,7,16,201.2228776420072
15,28,0,1,6,20,238.62227807132163
7,32,1,1,9,13,182.8247846402924
2,31,0,1,7,12,175.5547126204576
10,32,1,0,6,14,192.9187183938548
11,28,1,1,5,16,202.93215551268224
5,31,0,0,8,15,199.9404104532375
10,26,1,1,4,17,208.08971451989325
10,31,0,0,9,17,219.0520306124872
8,30,0,1,7,15,195.88150902824577
8,32,1,0,7,14,193.966297582392
12,28,1,0,10,21,244.69527935032596
13,29,1,0,6,16,204.4687103440436
7,34,1,1,11,12,180.7857031706457
10,32,1,1,8,15,201.37891187000588
6,31,1,1,8,16,207.5097488758601
13,29,1,0,9,17,213.42862077747552
12,31,1,0,8,17,216.9200275937372
9,31,1,0,4,14,193.7461970332805
11,29,1,1,10,15,197.5541638629709
8,30,1,0,11,15,195.76439241299747
8,25,1,1,7,17,203.7309702031177
14,27,1,1,5,19,226.05904172664765
9,28,1,1,6,15,195.91834259869776
2,31,0,1,7,11,167.5579018257051
8,32,1,1,4,12,180.1619874663323
7,30,0,1,7,13,186.6765549049874
14,30,1,0,7,15,199.25525687344148
9,32,0,1,5,14,195.8261016904896
5,32,1,1,7,11,170.2331827510843
11,25,0,0,8,21,238.89584595051423
10,25,0,0,5,17,208.2724513823497
6,28,1,1,11,17,211.02604444474315
9,30,1,1,10,17,213.5428482944895
3,35,1,0,7,11,172.05870107049458
14,30,1,0,4,16,207.8480127994768
13,26,1,0,8,19,224.8615485921912
14,28,0,1,6,16,205.04814792738955
4,30,0,1,6,14,187.8864331163309
9,28,1,1,6,13,176.7395601692051
10,29,1,1,7,15,199.48508960602763
5,33,0,1,5,8,144.24185242888333
11,33,0,1,7,14,197.0542984244006
11,31,1,1,7,16,209.00991978817507
7,29,0,1,8,17,214.1551800238822
11,27,0,1,7,19,225.9633207666794
7,28,1,0,6,17,212.52498574238643
11,33,1,1,7,15,200.43225785519655
11,32,0,0,8,15,200.5695537622784
9,25,1,1,7,20,231.44412003858145
14,31,1,0,4,16,210.14439933911905
4,32,0,1,5,10,161.9357542890431
7,33,0,1,9,12,178.29678844768563
15,29,1,1,8,18,222.4572425296548
7,34,1,1,5,8,148.32329145314608
2,31,1,0,6,11,166.59854314910032
6,32,0,1,8,11,171.92606873990755
10,30,0,1,13,19,226.90497065553905
8,30,1,0,3,11,164.8617447411198
7,34,1,1,6,10,167.21350097809898
12,28,1,1,5,18,219.2124536965534
15,32,1,1,6,17,219.86878541486053
12,26,1,1,10,21,240.8102934574796
7,29,1,0,6,15,197.56293963227108
15,31,1,1,9,16,208.68179599603383
13,31,1,1,5,12,175.41096110705175
10,25,1,1,6,17,205.86294528802807
11,31,0,1,10,16,208.65394388903957
8,28,1,1,7,15,198.3352424350892
5,25,1,0,9,20,232.7322979000321
12,31,1,1,6,14,193.6161406553139
8,29,1,1,12,17,210.46729007692107
8,27,0,1,5,15,194.0543705510288
11,32,1,1,9,15,200.7123200639865
12,31,1,1,8,17,217.72483878192307
10,29,0,0,6,17,212.70749438886165
6,26,1,0,5,17,209.8438176906588
13,29,1,0,9,17,213.8207744082598
8,29,0,1,11,16,205.57930804229628
7,30,1,0,9,16,207.0295731177512
7,33,0,1,8,11,171.63975623722277
9,34,0,0,6,12,182.22534083941844
9,30,0,1,9,16,205.5142942048184
14,29,1,1,5,15,198.19992478865265
8,28,0,0,8,19,227.38321920951716
10,25,0,1,5,18,213.91355464257936
10,28,1,1,7,17,211.0243322894013
12,28,0,0,4,17,214.44441682309136
11,30,1,1,9,15,198.6039436578694
13,28,1,0,12,19,226.0817461524035
12,31,1,0,6,14,188.9527394542553
8,26,1,0,7,16,199.7486402799562
12,34,1,1,2,9,157.76983968798152
12,33,1,0,6,13,188.6160403699117
15,29,0,1,10,18,220.35937064945625
12,35,1,0,8,12,181.04821086506035
11,27,0,1,4,16,202.7420367568876
13,28,1,1,9,19,229.8562058025457
13,28,1,1,3,15,196.95355200826955
9,32,1,1,8,15,201.53138766209517
8,28,0,0,10,17,210.5170069622629
10,29,1,0,7,14,185.77497505121872
11,28,0,1,7,18,219.4958925152555
10,33,1,1,6,13,189.02451513862377
8,31,1,0,6,14,189.87246559498064
14,28,0,0,8,20,234.8936222316616
8,29,0,0,6,13,179.46523347740975
13,26,1,0,6,17,208.7519947013096
13,33,1,1,9,13,183.9755009967152
11,30,1,0,8,15,199.5152594350357
9,32,0,1,5,12,178.8105494879204
9,28,1,1,7,14,187.16964736789623
5,30,0,1,6,14,190.154562206397
6,33,1,1,2,10,164.6767683334898
9,28,1,0,8,15,192.1135786965112
6,28,1,1,4,15,193.75869655804368
11,29,0,1,10,17,213.46318054076255
11,27,1,1,4,16,203.07280366392183
13,29,1,1,4,13,182.545460081564
9,29,0,0,10,17,212.0294639439764
10,32,0,1,7,12,178.3111160765985
5,28,1,1,9,14,187.7138534638229
13,28,1,0,4,16,206.1574051694052
12,32,1,1,9,14,191.7211654969695
14,32,1,0,7,14,195.0518389647849
10,30,1,1,8,14,189.82535554213672
8,32,1,1,6,11,168.4879953822057
12,36,0,1,7,12,182.834142104701
11,32,0,1,5,12,175.5890638383255
7,31,0,1,8,14,191.72834659568585
1,30,1,1,7,15,199.78806154155424
8,30,1,1,5,15,197.6552313103097
7,30,1,1,7,12,174.2314049531462
5,32,1,0,10,12,175.192632373164
13,31,0,1,7,17,218.86966182865916
6,30,1,1,9,15,198.8239360220337
7,29,0,1,5,15,197.39969096093407
7,29,1,1,9,16,203.6212247006858
10,29,0,1,7,14,189.17768123672013
12,30,1,1,2,11,167.22674905356146
13,25,1,0,7,18,214.6344906776829
11,30,0,1,4,16,209.7569631445704
7,31,1,1,7,12,176.76818524518652
8,32,1,1,7,15,201.35477551672628
13,28,1,1,6,16,203.18817233066983
7,29,1,1,6,13,181.40691555206968
12,30,1,1,7,16,208.61342852264352
9,27,1,1,3,16,202.0248686248773
8,32,1,0,7,11,168.7028829669027
11,30,0,1,9,15,197.173724899442
12,25,0,0,8,20,232.2489719944109
11,30,1,1,12,18,222.9775603118208
12,36,1,1,7,11,179.60660590405803
12,30,1,1,6,16,206.31541975503885
9,25,1,1,9,15,191.75126187561344
10,28,1,0,9,19,227.7309969393418
14,31,0,1,5,13,185.02530617769744
7,29,1,0,7,16,205.8231277445123
6,27,1,1,7,17,210.8866441286315
7,29,1,1,6,15,195.85519170129217
15,29,0,0,3,17,215.16335213926587
10,31,1,1,6,12,175.62172936667318
7,30,0,0,9,14,187.63566772672928
10,27,1,1,7,17,209.4015191548277
11,27,1,0,12,20,232.1985365827307
12,33,1,1,6,12,180.16140227175023
11,27,0,1,8,16,201.9749979453995
7,27,1,1,9,18,215.50446169754792
6,30,1,1,8,16,208.49114118287943
9,32,0,1,8,12,178.96073526241003
13,28,0,0,8,17,210.6673108553556
10,32,1,1,7,9,153.88787465260768
11,29,0,1,9,19,229.93079397195876
12,28,1,1,8,16,202.47478327945373
5,31,1,1,9,13,184.2548477845459
13,29,0,1,8,16,202.13674671841807
11,29,0,1,8,18,218.8204254649899
7,34,1,1,8,12,183.05325942307837
11,28,1,1,6,18,222.0871761695742
9,32,0,0,6,14,193.62049534664175
5,31,1,1,7,10,158.46091260878595
5,30,1,0,10,16,205.2074092829473
12,28,0,1,7,15,196.3401677543856
18,28,1,1,4,17,212.27511511869352
8,29,1,1,7,17,213.50149630272185
6,29,1,1,2,10,157.8666318037308
11,31,1,1,8,17,218.66478065711507
15,30,1,0,11,19,230.66848661370008
9,33,1,1,7,14,195.36782857983445
12,26,0,1,5,19,227.52549359950265
8,31,1,1,8,14,192.12203483474104
10,29,1,1,7,16,206.79839011610784
10,31,1,0,7,13,183.0180570169457
7,25,0,1,10,18,214.00331174601985
7,29,1,0,8,16,206.16836289615597
