worker_age,education_years,prev_income,working_hours,job_experience,union_membership,job_security,job_training,job_satisfaction
25,16,7,16,3,0,0,0,86.03712433506261
30,25,3,12,1,0,1,0,90.78600696420736
50,25,7,15,0,1,0,0,102.56827172961212
22,32,6,16,2,0,1,0,99.8075237347558
35,33,5,21,2,1,1,1,115.72861648050862
26,24,6,22,3,1,0,0,100.2282158041878
25,27,7,12,1,1,1,1,101.76279466712072
24,25,6,17,3,0,0,1,102.4743222285594
44,29,7,10,1,1,1,1,109.33452045976648
27,16,7,25,1,1,1,0,92.93412820472064
28,23,8,13,1,1,1,1,100.07457680198284
12,25,9,5,0,0,1,0,82.4776611040334
6,27,9,13,0,1,0,1,97.11261758004606
43,24,4,22,3,0,1,0,102.55899221021166
24,17,6,14,1,0,1,0,84.10606676441265
25,24,8,21,2,0,0,1,106.00602738735223
33,21,6,14,1,0,1,0,91.45011648021902
35,20,3,15,1,0,1,1,96.82032240512936
9,26,4,18,4,1,1,0,92.05727965965563
17,20,7,19,1,0,1,0,90.27009062330872
29,23,3,15,2,1,0,0,90.59448626173828
34,26,3,17,2,0,0,1,103.12254299046278
17,19,7,19,1,1,1,1,97.76173566659573
18,21,7,16,3,0,0,1,97.3853190517817
29,26,5,21,2,1,1,0,101.3298264263474
23,29,7,19,1,0,0,1,107.32230019526486
15,21,5,16,1,1,0,1,95.35691359107884
34,22,6,12,4,0,1,0,90.20880617105432
36,24,6,24,2,0,0,1,112.27472545348256
43,20,5,21,2,0,1,0,99.97912711523183
24,18,6,15,4,1,0,0,86.69166242014835
25,19,5,17,2,1,1,1,96.92295572299405
38,22,7,15,2,0,0,0,96.29695240806537
28,19,5,13,0,1,0,0,89.36629610571427
39,29,7,19,2,0,1,1,112.30750895912472
13,16,4,15,2,0,0,1,89.29511745683621
21,22,5,17,3,0,0,1,98.4297811661493
28,19,5,15,3,0,1,0,90.5003447683978
19,24,4,8,2,1,1,0,83.26703744678595
38,13,3,16,1,1,0,1,94.5059036376244
31,18,6,11,2,0,0,0,87.2160409501498
17,25,5,11,1,1,1,0,89.56838282766567
44,24,11,26,1,1,1,0,110.50141623625434
24,25,4,15,1,1,1,0,92.57455824199836
32,30,1,10,2,0,0,0,93.83774404051611
16,24,4,14,2,1,0,1,96.77767220660898
7,22,5,10,1,1,0,0,81.33487032683243
29,17,5,10,0,1,1,1,90.20944402226154
36,12,2,18,3,0,1,0,84.4898959095822
31,24,4,17,2,1,0,1,103.76031225051216
36,23,4,17,2,0,0,1,103.83862552949606
27,24,4,19,0,1,1,0,96.05251476808972
11,23,4,20,0,1,0,0,90.8562087554194
26,20,2,15,2,0,1,0,87.19954610622536
12,28,7,14,1,1,1,0,92.46949752439733
30,18,7,18,1,0,1,1,98.76857058654406
39,30,8,17,2,1,0,1,112.31576200045306
12,27,8,14,0,1,0,0,91.47312812857908
26,23,8,21,2,1,0,1,107.34653009317012
27,21,1,16,1,0,1,0,88.93293379620708
18,22,4,10,2,0,0,0,82.88233750562088
29,27,10,14,2,0,0,1,106.33117188474674
29,22,5,17,2,1,0,1,102.26344373252846
26,17,7,17,2,1,0,1,100.0494213212196
27,23,7,9,0,1,1,0,89.97080311748897
26,17,5,11,2,1,0,1,91.29870182860282
32,28,9,20,1,0,0,0,102.82472397034188
28,17,7,14,2,0,1,0,86.24054794104096
31,26,6,3,1,1,1,1,95.98731567197784
17,25,4,12,1,1,1,1,96.86430915565192
20,14,7,19,1,1,0,0,87.78440825011535
15,25,3,13,0,0,0,1,95.44431417767764
30,22,6,4,1,0,1,1,89.56634324015333
25,22,7,18,0,1,0,0,94.809332993002
37,23,5,13,1,1,0,1,102.1094471025266
33,20,6,17,1,0,1,1,99.97558657451911
25,24,5,20,2,0,1,0,97.00636558913529
9,16,8,16,1,1,0,0,84.09625165770433
27,27,7,9,3,1,0,1,98.47852175900762
36,25,6,15,1,1,1,1,105.8363707109214
21,26,6,18,3,0,1,1,103.33147584451176
22,19,5,17,3,1,1,0,88.10500612162738
33,28,7,14,1,1,0,0,98.67293801894498
22,20,6,24,2,1,1,1,104.04848222085069
16,30,5,24,2,1,1,0,103.7416760920108
18,28,4,17,2,0,0,0,96.58558965218144
16,21,7,9,1,0,1,1,88.68951830623834
36,21,5,15,2,1,0,1,101.40586741350496
32,21,8,8,0,0,1,0,87.24193170399656
29,23,7,17,2,1,1,0,93.81650682030832
32,22,7,16,1,1,0,0,93.68223004708612
28,24,3,11,2,0,1,1,96.11825407143976
11,28,7,11,1,0,1,1,98.32460298678346
38,21,4,10,1,0,0,0,87.67255566392288
34,26,4,16,0,1,0,0,98.47735842462002
26,22,7,19,1,0,0,0,96.0380289725299
26,24,8,14,2,0,1,0,93.62806477855644
21,26,5,22,2,1,0,1,106.9890977999953
36,33,7,10,2,1,1,1,110.990103761093
22,22,3,15,3,1,0,1,97.32868010033684
24,24,4,20,0,1,1,0,95.25887828549546
41,22,8,14,1,1,1,0,94.44776912651476
7,18,10,18,3,1,0,0,88.6584189870444
23,30,6,26,1,0,0,1,114.66428772973414
24,20,5,13,2,1,0,0,86.01585035236181
37,18,9,14,2,1,0,0,92.10743704296311
35,21,6,18,0,1,1,1,102.98814388663884
18,27,6,21,1,0,1,0,98.8162432360858
