hospital_id,year,telemedicine_implementation,patient_recovery_rate,staff_size,hospital_budget,in_rural_area,has_specialized_department
1,0,0,51.75685680269798,5,7,0,1
1,1,0,52.528852598031975,5,7,0,1
1,2,0,50.79746361548605,5,7,0,1
1,3,0,51.45376370369214,5,7,0,1
1,4,0,50.86460445512854,5,7,0,1
1,5,0,52.82499183884873,5,7,0,1
1,6,0,51.97952687743349,5,7,0,1
1,7,0,52.98159422811189,5,7,0,1
1,8,0,49.7218018969286,5,7,0,1
1,9,0,53.21661548490816,5,7,0,1
2,0,0,52.12378841088253,5,8,1,0
2,1,0,50.59285533277323,5,8,1,0
2,2,0,48.79104910890419,5,8,1,0
2,3,0,48.83152410988213,5,8,1,0
2,4,1,60.9058636394337,5,8,1,0
2,5,1,61.68155347329701,5,8,1,0
2,6,1,61.43125875969271,5,8,1,0
2,7,1,61.15347153204222,5,8,1,0
2,8,1,60.07837476702737,5,8,1,0
2,9,1,62.122124605732594,5,8,1,0
3,0,0,50.91022319321959,2,13,0,0
3,1,0,50.00012158961406,2,13,0,0
3,2,0,50.22311999539164,2,13,0,0
3,3,0,50.51275767359918,2,13,0,0
3,4,0,52.190660980464926,2,13,0,0
3,5,0,53.01759657740763,2,13,0,0
3,6,0,51.49940109912822,2,13,0,0
3,7,0,52.66616359557817,2,13,0,0
3,8,0,51.1371276050464,2,13,0,0
3,9,0,52.63035274593156,2,13,0,0
4,0,0,51.019603197832495,6,6,0,1
4,1,0,54.10896686136387,6,6,0,1
4,2,1,61.51018651332032,6,6,0,1
4,3,1,62.88432974222512,6,6,0,1
4,4,1,62.843485676718224,6,6,0,1
4,5,1,63.006075335522,6,6,0,1
4,6,1,62.15109518016894,6,6,0,1
4,7,1,63.27329373390548,6,6,0,1
4,8,1,61.80826078356161,6,6,0,1
4,9,1,62.55182669560602,6,6,0,1
5,0,0,53.19370251109726,5,8,1,1
5,1,0,54.33568243611747,5,8,1,1
5,2,0,52.609473978995794,5,8,1,1
5,3,0,52.85183836397878,5,8,1,1
5,4,0,52.809616571029,5,8,1,1
5,5,0,51.65449706271628,5,8,1,1
5,6,0,55.45136771957562,5,8,1,1
5,7,1,63.50798930160115,5,8,1,1
5,8,1,62.65134527774305,5,8,1,1
5,9,1,62.99519869785557,5,8,1,1
6,0,0,53.02919812525323,2,3,0,0
6,1,0,51.90422919825032,2,3,0,0
6,2,0,52.086220085945136,2,3,0,0
6,3,0,53.7080246904227,2,3,0,0
6,4,0,53.08424839488815,2,3,0,0
6,5,0,55.09220394242264,2,3,0,0
6,6,0,53.36951745765123,2,3,0,0
6,7,0,53.321628681315545,2,3,0,0
6,8,0,52.14394253829526,2,3,0,0
6,9,0,53.91601982419719,2,3,0,0
7,0,0,52.17929869469017,2,2,1,0
7,1,1,63.101855606639454,2,2,1,0
7,2,1,61.87620301846165,2,2,1,0
7,3,1,62.2396918917323,2,2,1,0
7,4,1,62.524516394144165,2,2,1,0
7,5,1,61.63491766473815,2,2,1,0
7,6,1,63.31789651721883,2,2,1,0
7,7,1,63.61524450483763,2,2,1,0
7,8,1,60.40962141219836,2,2,1,0
7,9,1,63.0406372016752,2,2,1,0
8,0,0,52.80931958421901,4,14,0,0
8,1,0,52.40259569013321,4,14,0,0
8,2,0,51.34242385854772,4,14,0,0
8,3,0,52.521311361435686,4,14,0,0
8,4,0,53.20747244448403,4,14,0,0
8,5,1,63.79920338689825,4,14,0,0
8,6,1,62.42968647801892,4,14,0,0
8,7,1,64.08369138881885,4,14,0,0
8,8,1,62.644272855311655,4,14,0,0
8,9,1,64.00130844345287,4,14,0,0
9,0,0,51.78506691746023,4,11,1,0
9,1,0,50.929857707489234,4,11,1,0
9,2,0,50.20852190037365,4,11,1,0
9,3,0,51.99377597394693,4,11,1,0
9,4,0,50.49191322799678,4,11,1,0
