employee_id,year_of_observation,minimum_wage_increase,current_year_income,previous_year_income,education_years,gender,union_membership
1,0,0,47.42746422914317,2,8,1,1
1,1,0,48.03379024150858,2,8,1,1
1,2,0,48.90434710169056,2,8,1,1
1,3,0,48.22858539333609,2,8,1,1
1,4,0,48.60564143633476,2,8,1,1
1,5,1,50.75262057501572,2,8,1,1
1,6,1,52.79995657152468,2,8,1,1
1,7,1,51.40337119352056,2,8,1,1
1,8,1,52.95179870964426,2,8,1,1
1,9,1,53.85446038144413,2,8,1,1
2,0,0,45.81907542375249,5,6,0,0
2,1,0,46.60838541680965,5,6,0,0
2,2,0,46.86161303144672,5,6,0,0
2,3,0,45.28276192287619,5,6,0,0
2,4,0,47.720202586104726,5,6,0,0
2,5,0,46.364718274226725,5,6,0,0
2,6,0,47.93079548506808,5,6,0,0
2,7,0,46.38969908487045,5,6,0,0
2,8,0,48.84469249982317,5,6,0,0
2,9,0,49.17080860237756,5,6,0,0
3,0,0,49.97405485884762,1,10,0,1
3,1,0,48.78376403190679,1,10,0,1
3,2,0,48.31252353288645,1,10,0,1
3,3,0,45.48698209553204,1,10,0,1
3,4,0,46.53366076405872,1,10,0,1
3,5,0,47.24791833720024,1,10,0,1
3,6,0,46.949391069760935,1,10,0,1
3,7,0,47.84877552680291,1,10,0,1
3,8,0,49.1635799274376,1,10,0,1
3,9,0,48.31050058193554,1,10,0,1
4,0,0,48.26831583906706,2,6,1,0
4,1,0,47.52233470672853,2,6,1,0
4,2,0,45.325502095296144,2,6,1,0
4,3,0,46.7979339966307,2,6,1,0
4,4,1,50.686028920275206,2,6,1,0
4,5,1,49.9822886091133,2,6,1,0
4,6,1,48.95178076576551,2,6,1,0
4,7,1,50.05166091126253,2,6,1,0
4,8,1,51.01537960730862,2,6,1,0
4,9,1,50.61140016984883,2,6,1,0
5,0,0,48.16779921634607,3,7,1,0
5,1,0,47.65308956656135,3,7,1,0
5,2,1,50.41440594891971,3,7,1,0
5,3,1,48.4474259049044,3,7,1,0
5,4,1,49.96814488709262,3,7,1,0
5,5,1,49.29216564134783,3,7,1,0
5,6,1,49.37826524860351,3,7,1,0
5,7,1,50.5059606832257,3,7,1,0
5,8,1,51.25109785861465,3,7,1,0
5,9,1,51.026192932913965,3,7,1,0
6,0,0,48.74789151281212,3,12,0,0
6,1,0,48.68508692973457,3,12,0,0
6,2,0,47.69121338621884,3,12,0,0
6,3,0,46.5808346406141,3,12,0,0
