age,education_years,rural_residence,single_parent_status,local_childcare_availability,childcare_subsidy_received,employment_status
8,27,0,0,8,61,213.35568920529167
10,32,0,0,8,68,233.22025845884943
6,30,0,0,9,64,223.73808283621636
11,29,1,0,10,68,234.439666553276
6,34,1,1,8,67,235.8578345773284
9,29,0,0,7,63,220.96707739566327
7,31,1,0,7,66,230.69487399098267
8,28,0,1,6,61,217.5178298842676
13,31,0,0,7,68,231.5321723627412
13,27,0,0,8,65,224.11779193553548
11,31,0,0,6,66,227.42130369147557
14,29,1,0,6,65,223.4381811138812
10,30,1,0,8,65,227.44610323807797
14,34,1,0,9,75,256.39552725517683
8,27,1,0,7,61,213.60268667884029
9,31,1,0,4,62,217.41822999929408
10,31,0,0,11,69,238.4515759041519
14,29,0,0,5,64,222.02069458550028
13,28,1,1,9,65,223.4723979714192
15,31,1,0,10,70,237.50411222504235
4,34,0,1,8,66,231.9165249919138
11,28,1,0,6,65,226.6461876251591
11,29,1,0,5,61,213.26591318826848
10,29,0,1,8,65,226.49108101371132
11,28,0,0,6,63,220.66304788737517
7,29,0,0,10,64,225.36316171657455
9,30,0,0,8,65,225.6982406098205
6,25,0,0,8,60,211.65040757688564
8,30,1,1,9,67,234.2621240105608
7,30,0,1,7,62,218.23404901842665
10,27,0,0,8,65,227.0519675538475
15,29,0,0,7,68,231.53682786533335
8,26,1,0,9,62,219.75150551773984
7,31,0,0,13,69,239.1076999528603
10,27,0,0,9,61,213.4956522429396
8,28,0,0,8,62,217.75051121313956
10,27,0,0,6,61,214.9074806138865
13,23,1,0,6,60,211.72231511802056
7,29,0,1,10,64,224.64484226570903
12,28,1,0,10,65,227.526956172072
12,28,1,0,10,68,232.44399426442556
9,27,1,1,11,66,231.5909630510671
8,30,0,0,6,63,223.9405329277487
3,27,0,1,8,61,218.4283044639123
9,30,1,1,7,66,231.5677352131292
4,28,1,0,9,61,215.00047514109215
13,30,0,1,8,67,232.90068945623625
11,26,0,1,6,61,212.8975885838487
10,25,1,0,11,62,216.14264751090505
14,29,1,0,8,69,237.434322274404
10,30,1,0,7,64,221.69865926949976
11,29,0,0,9,64,222.30354296885344
9,30,1,0,5,64,224.82144539529497
4,26,0,0,9,59,209.62160684845145
8,27,0,0,10,63,216.87024397123773
14,28,0,0,10,67,228.6560827736733
8,27,1,0,11,65,227.8490189905208
10,31,0,1,6,66,227.43814038914283
8,33,0,0,7,68,236.3454004408394
13,26,0,1,2,60,212.01676957529264
11,32,0,0,6,65,220.45489540228263
14,30,0,1,8,67,229.2210450964604
15,30,0,0,9,69,232.42364642283084
6,32,0,0,9,67,234.1483457450038
10,27,0,0,8,64,221.3279490553115
8,29,0,0,6,63,220.0974081073504
5,29,1,0,6,61,214.96441977067008
8,27,0,0,7,61,216.5089664163958
5,32,0,1,8,68,237.95167158173092
4,29,1,1,7,60,213.77859051609383
5,29,0,1,6,61,215.8956498629881
6,28,0,0,9,65,228.54853952979792
10,30,1,0,10,66,226.46743120593544
5,26,1,0,8,58,206.55696928001632
12,27,0,1,3,61,214.3147882698229
9,31,0,1,8,67,233.56733793117888
14,29,1,0,5,65,226.1030022267433
9,32,1,0,9,69,236.39281080759588
10,33,0,1,8,69,241.61115190277343
13,28,1,0,9,67,230.9989586903088
9,30,0,0,6,63,220.1167227033126
8,29,1,0,12,69,239.13577660818888
11,30,1,1,5,63,221.85824159950496
8,33,0,1,6,65,227.32682188166945
4,27,0,1,6,61,218.15565924670744
14,30,1,0,8,67,228.48143762907984
8,30,0,0,8,63,221.11257155346055
10,31,0,1,9,68,236.79158377809483
8,32,0,0,8,68,237.79655662511843
10,27,0,0,7,65,227.3174242900632
14,28,0,1,6,63,219.84171769978505
11,27,0,0,8,62,218.3257375516416
5,30,0,0,4,62,219.75131091104092
14,32,0,0,9,71,241.21132672878036
6,30,0,0,10,63,220.8351529693009
14,29,1,0,10,67,232.34235579668584
4,31,1,0,6,64,227.0045256041359
7,33,0,0,7,66,230.30283347202783
11,32,1,0,2,64,224.15235450299508
13,31,0,0,10,66,222.94243410305003
13,29,0,1,7,64,222.6530823700754
11,29,1,0,8,65,222.4314797550784
6,31,0,0,8,65,226.8365183397841
10,29,1,0,6,63,219.1671020615611
11,30,0,1,6,66,229.5671668503248
15,29,0,0,7,68,230.01350547990552
10,30,0,1,8,63,220.61506658856243
9,27,0,1,8,63,222.1615914348205
8,34,0,0,6,67,233.12461253433796
12,28,1,0,6,64,220.23895745970583
9,28,0,0,6,62,219.404950597794
4,32,1,0,10,65,226.48383110190736
10,29,0,0,5,63,220.08344557567756
11,31,0,0,8,67,231.48126023506515
10,29,0,0,8,64,222.65135549635227
7,34,0,0,9,70,242.1291679691705
10,29,1,0,8,66,231.46454435319043
8,31,0,0,6,68,235.55838624119048
11,32,0,0,6,66,226.3214768048429
13,32,0,0,8,70,242.5330519605888
11,29,0,0,7,64,221.06777210850035
12,30,0,0,8,66,227.95727140796828
10,31,0,0,10,67,233.2370958507871
10,29,0,1,8,65,226.3632406121389
8,28,0,0,10,65,225.96879590910785
12,29,0,1,8,67,233.9413513582184
14,27,0,0,10,66,224.78895580492767
9,28,1,0,6,63,222.26418473122925
10,31,0,1,10,69,238.62114819432728
12,33,0,0,7,69,234.1725932075303
11,31,1,0,7,65,223.5932771978657
10,30,0,0,5,67,233.1480967093848
11,29,1,1,8,66,229.66764618662853
6,33,0,0,10,68,234.15288860566855
9,31,1,0,7,68,237.6683086812596
3,30,0,0,8,63,222.3274866451946
13,31,0,0,8,68,235.3038552555784
10,30,0,0,8,67,234.22434209105307
11,33,0,1,9,71,241.7412267651509
10,27,0,1,8,63,222.81476509078212
14,32,0,0,8,69,233.2200487552291
9,31,0,0,7,64,221.23966626763757
12,28,1,0,9,66,229.99429267273592
5,32,1,0,9,65,225.16920118037947
14,29,1,0,3,64,220.31660434520063
11,27,0,1,6,64,223.9902323711748
9,34,0,0,9,69,237.8483017118081
7,28,0,1,9,63,219.95446686530292
15,27,0,1,9,65,220.6445084879036
8,30,0,0,12,66,227.05792524275827
6,33,1,1,4,67,234.1625462221175
10,28,0,0,3,62,217.7841507239297
12,33,1,0,8,70,238.6622528620404
9,28,1,1,7,64,223.32994344088877
12,29,1,1,10,66,227.87135568429855
7,31,0,1,12,65,226.7035851347198
15,25,0,0,6,62,214.9254951927704
14,30,0,0,8,70,243.4417886687529
9,27,0,0,8,62,217.4151409356896
10,32,1,0,8,69,237.64096110995027
11,24,0,0,9,61,214.7595008271407
9,28,0,1,4,61,215.53997838613225
11,30,0,1,10,66,226.6610104257273
8,29,0,1,8,64,222.98653542804655
10,27,1,0,6,63,220.89199375447188
9,34,1,0,9,68,234.4624788146927
7,27,1,1,7,59,209.2615593002785
10,28,0,0,8,64,220.96084661509943
11,30,0,1,6,66,229.51028073746707
11,28,1,1,6,62,215.71033428507667
10,27,1,1,6,62,218.44752205680976
9,29,1,0,8,66,229.8941245799591
11,25,1,0,6,60,211.9705208656414
8,25,0,0,7,61,213.59519449213656
11,30,0,0,8,67,231.5894625225476
10,30,0,0,9,66,230.50215116132784
15,26,1,0,9,65,227.6297228687022
12,29,1,0,8,67,230.8830587847773
17,28,0,0,7,66,226.79214176080225
10,28,1,0,6,64,221.85178234862445
9,29,0,0,11,67,233.21226100437727
8,31,0,0,9,66,228.89488567046948
10,29,0,0,8,64,222.51343094030756
11,33,0,1,7,69,237.67383411675016
8,31,0,1,8,64,223.45104950661215
7,29,0,1,10,63,222.4197668248177
10,26,0,0,7,63,223.19567763632136
14,31,0,0,10,72,245.3421905175526
11,34,1,0,10,71,242.2856329491925
9,28,0,0,7,61,214.82609613105552
5,29,0,0,8,62,219.9564558908124
9,27,1,1,9,64,226.1081075479667
10,29,1,0,5,63,220.96893830542743
15,28,0,0,5,63,217.7861046081755
6,31,1,1,6,64,226.6912232368545
11,30,1,0,9,67,232.86137273634895
9,33,1,0,10,68,233.3244714870423
10,34,1,0,8,71,245.80318694056308
10,30,0,0,9,67,230.68634694037988
9,31,0,1,3,66,232.86292293877543
15,29,0,1,9,68,238.14446901018457
9,30,0,0,8,64,223.01356597327091
7,33,0,0,7,67,234.1961425371117
8,30,0,0,9,63,221.63730923811568
10,29,0,1,9,64,224.34880375828428
11,29,0,1,8,65,226.2642737457235
15,31,1,0,10,72,243.05345972308768
9,31,0,0,6,65,225.58045703218335
6,28,0,0,11,64,224.2385200156889
8,28,0,0,10,65,226.63378318567945
11,28,0,1,7,62,216.80491756020908
5,31,1,0,9,64,223.7771932456565
13,26,0,0,6,60,208.3577712863689
11,29,0,1,8,63,217.7532219211592
10,29,1,1,6,67,235.4972199591381
11,28,1,0,9,63,217.8472293185828
10,31,1,0,6,65,223.9065797136525
7,29,0,1,7,64,224.09090388230777
13,29,1,1,6,63,219.07431756159744
9,30,0,1,7,66,232.4442641565046
4,27,0,0,7,60,215.04863905542217
11,31,0,0,10,66,226.59226503590148
10,28,0,0,8,64,222.81617007290004
12,32,0,0,8,70,242.10909374332752
11,27,0,0,9,64,222.8904581251827
7,29,0,1,7,62,217.50887343384883
9,30,1,1,8,65,226.56787218770205
11,29,1,0,9,66,228.54008524400672
12,30,1,0,6,66,228.53044853224523
13,30,1,0,5,67,233.5144144606307
12,29,0,1,9,69,241.7358002459471
5,30,1,1,8,63,223.17314075464708
8,29,0,0,9,62,214.92476250825987
8,27,0,1,9,60,211.19415975434265
8,29,0,0,6,63,220.30806908551892
7,29,1,0,7,64,225.10170352661123
11,31,0,0,6,67,229.13516851945616
9,28,1,0,7,64,224.03450269890493
9,29,1,0,8,63,219.2568687315752
4,30,0,0,4,61,215.41793864576383
7,32,0,0,8,65,225.3240758309188
12,34,0,1,3,65,221.49380282106085
10,32,0,1,6,64,222.74180585083
8,29,1,0,10,65,228.4244428824135
12,29,0,0,6,65,227.3579731171424
7,28,0,0,5,60,212.10688782619263
10,28,1,0,8,64,223.26186981705013
7,34,1,0,9,71,244.0384829583619
9,27,0,0,5,63,220.558208884307
11,32,1,0,5,64,220.3009748147
10,28,0,1,6,64,224.91969575427467
10,28,1,0,8,65,224.5383120952216
8,29,0,1,6,62,218.91351227196463
