age,income_level,gender,minority_status,credit_score,automatic_enrollment,saving_rate
5,6,1,0,14.360683439274466,1,18.072119232945244
9,5,1,1,13.351882193892648,1,16.251261806311977
6,3,0,1,13.284190896286018,1,16.344999116324953
4,5,1,1,11.843540076113952,0,7.943721670008421
11,5,1,0,11.40901315769248,0,5.930792505661627
8,5,1,0,14.119657961287365,1,17.367364494748912
7,5,0,0,13.22293916839082,1,15.340050381744724
11,7,1,1,11.723532381317073,0,5.900620862339754
3,5,1,1,11.54635938267644,0,7.79438173689642
11,6,1,1,13.866713800569327,1,15.627084811945432
10,6,1,1,9.076743284744287,0,2.8860103636748136
10,5,1,1,11.94020485874708,0,7.591927187733492
4,5,1,1,14.076036816312197,1,18.37282207154803
8,6,1,0,14.362177087608936,1,18.25493017271725
7,8,0,0,13.729817056651576,1,17.669543274499638
12,6,1,1,9.84750905467982,0,4.192925071585409
6,4,1,0,9.833602420059284,0,4.516588121420948
7,6,1,1,10.181511540509907,0,5.464195824928456
7,6,1,1,10.768274361471931,0,5.337118310972325
5,6,1,0,13.68441939070953,1,16.401721904046646
13,3,0,1,11.439250189002196,0,5.827910882928157
9,5,0,1,15.453114725799388,1,16.76412293404002
1,5,1,1,12.361750930756186,0,9.777863758561336
1,8,1,1,14.542320813856207,1,18.60579817296479
5,3,1,1,13.482229572543508,1,16.597591937402804
7,6,1,1,13.526980996546271,1,17.25158296300784
7,4,0,1,13.820435326977364,1,16.21503506692548
5,6,1,0,18.626944044971747,1,21.24633689349444
10,5,1,0,14.392714064882751,1,16.69869514589467
6,7,1,0,11.956401674902246,0,8.134742612608528
4,5,1,1,13.872828942019453,1,17.025126071967087
7,5,1,1,12.969539077589038,0,8.661626024829175
9,4,0,0,14.565666839993082,1,17.101068188716113
7,8,1,0,15.245761889895954,1,17.20918778226077
0,5,0,1,12.434357323177212,0,8.218731045507639
6,5,0,1,11.484661253014515,0,7.792650967012643
8,4,0,1,12.339593980299558,0,8.482926854738203
10,6,1,1,12.252257291968812,0,8.320331310217128
7,6,1,0,13.203019696397948,1,16.117970941008053
14,5,1,1,11.713921453950883,0,5.886870605405621
9,9,0,1,13.079631821798175,1,16.148334225354017
6,3,1,0,12.786460617127451,0,9.41664676866164
7,7,1,0,10.648377630349373,0,6.794030044943433
5,3,1,0,13.191397208141211,1,16.37206045770526
5,5,0,0,12.067836180099182,0,7.363225038154529
6,4,1,0,14.658118978972574,1,17.891561808990733
10,5,0,0,13.153210487264174,1,16.12537071283798
9,7,0,1,13.50686417014592,1,17.52757048396659
8,5,1,1,12.18198660237132,0,7.853342965042379
7,5,0,1,12.441895045984417,0,7.962819128544898
6,8,0,1,15.113732447129642,1,18.534366360176296
6,7,1,1,12.171628599342595,0,8.854654897751711
6,8,1,1,10.902460636912007,0,6.46790325144619
8,5,0,1,11.164257030374058,0,6.082162310058453
9,8,1,0,9.493670478790335,0,3.5371275137685894
5,8,1,1,12.202298447189076,0,9.161286725844471
7,6,0,1,12.87198838382639,0,9.111316557094764
12,5,1,1,11.317325364957668,0,7.04456177338343
9,5,0,1,13.862799982195424,1,15.404718741688928
6,5,0,1,14.657649750083785,1,17.014898483928555
10,5,0,1,15.874046166228489,1,17.85514820809899
9,5,1,1,15.628484226526322,1,17.84531720813152
9,6,0,0,11.132841403678864,0,6.276492472619902
12,7,1,1,10.260434045690662,0,4.087037872530926
7,3,1,1,14.558120927040427,1,17.58056075733643
5,6,0,1,13.253532388908363,1,16.255514591178258
5,6,1,1,14.034536064586003,1,17.34642067068228
12,8,0,0,12.44274225139898,0,8.429964003373879
6,3,0,1,9.323419880756717,0,3.3972312477020163
10,5,1,1,10.778818678278943,0,5.455990528831812
5,4,0,0,10.530677429445158,0,6.866870851809745
4,8,1,0,12.413355726899054,0,9.622632134003185
9,5,1,1,10.21044749989718,0,5.446658998314679
6,4,1,1,14.8699735969475,1,17.67509373038442
6,5,1,0,16.019242783128977,1,18.305252127195324
4,6,1,0,12.04641966923191,0,9.299381278179064
7,4,1,0,14.213883287091951,1,17.723012562425485
7,5,1,1,8.521306805159208,0,1.7541297426531497
10,6,1,1,10.727146556212524,0,6.131845231608268
5,5,1,1,13.519512558160478,1,16.731111083017826
2,7,1,1,18.17451630968101,1,21.22384752194233
7,6,0,0,13.69466747607688,1,16.42994718371346
6,3,1,1,14.932239593832266,1,18.21108413520861
8,4,1,1,15.631486325340052,1,18.212850862505935
6,3,0,1,12.81501736750632,0,9.063723266159116
8,5,1,0,16.52675787622251,1,18.8865426816731
3,6,1,1,14.536202185809266,1,18.277035125865154
4,3,1,1,12.380622693279928,0,8.510760319239585
6,6,1,1,13.05119709740506,1,15.442684158634172
10,5,1,1,16.872841674881595,1,19.224429015614295
7,3,0,0,15.682984662755564,1,18.331625614704304
6,5,1,1,13.825645551543357,1,17.683529455875238
1,7,0,1,16.731779867228724,1,19.868623426807545
9,6,1,1,10.292515575493717,0,4.94304875612485
7,5,1,0,15.186529083725096,1,17.37163164463426
12,9,1,0,10.06830071120046,0,4.20919528547329
6,5,0,1,14.106510022571737,1,17.36061221635915
12,6,1,1,13.072727641027535,1,15.614793068132482
13,5,1,0,12.2983306963684,0,8.039829958470957
5,4,0,0,12.291609270406353,0,8.208605738252807
9,7,1,1,14.54248001450609,1,16.846564123586553
7,7,1,1,12.642824563625531,0,9.470199345567911
4,5,1,1,14.75177374435123,1,18.197769193794947
8,8,1,1,15.194941687091877,1,17.76270067198191
6,8,1,1,10.56114956156447,0,5.571329976526432
3,6,0,0,12.681262563634792,0,11.08998617438655
1,6,1,0,12.69556762848284,0,9.730786386073031
9,6,0,0,10.949635943076338,0,5.385921168193106
5,5,1,1,16.529377249675584,1,18.80581759977733
8,5,1,1,15.955385006826942,1,18.617852883198548
8,4,1,1,10.527913222426596,0,5.493723108325456
7,5,1,1,13.591865716899097,1,16.917220606562925
